iShares Core High Quality Canadian Bond Index ETF
Inception Date,"Nov 19, 2009"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$261,810,245"
Shares Outstanding,"12,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"ONTARIO (PROVINCE OF)","683234YX0","B1N4J31","0.38","$981,572","Canada","Provincial","4.30","Mar 8, 2017","1.52","105.73","FI","CAD","CAD","1.00","1.52","0.66","-","0.66","981,571.81"
"CANADA HOUSING TRUST NO 1","13509PDT7","B9HJFM9","0.37","$979,349","Canada","Federal","1.75","Jun 15, 2018","2.79","102.84","FI","CAD","CAD","1.00","2.78","0.74","-","0.74","979,348.56"
"CAISSE CENTRALE DESJARDINS MTN","12801ZCL0","-","0.37","$974,464","Canada","Financial","1.75","Mar 2, 2020","4.37","99.92","FI","CAD","CAD","1.00","4.34","1.77","-","1.77","974,464.03"
"ONTARIO PROVINCE OF","68323ACY8","-","0.37","$968,568","Canada","Provincial","2.90","Dec 2, 2046","19.98","97.92","FI","CAD","CAD","1.00","20.25","3.00","-","3.00","968,568.31"
"ROYAL BANK OF CANADA","780086JX3","BTDYKJ0","0.36","$952,992","Canada","Financial","2.35","Dec 9, 2019","4.13","102.99","FI","CAD","CAD","1.00","4.11","1.63","-","1.63","952,991.61"
"HSBC BANK CANADA","40427HSM6","B77FWT9","0.36","$952,561","Canada","Financial","2.90","Jan 13, 2017","1.41","102.35","FI","CAD","CAD","1.00","1.40","1.25","-","1.25","952,561.35"
"TORONTO-DOMINION BANK","8911454A9","-","0.36","$941,172","Canada","Financial","1.69","Apr 2, 2020","4.46","100.07","FI","CAD","CAD","1.00","4.43","1.68","-","1.68","941,172.18"
"BANK OF NOVA SCOTIA","0641496N2","BT9Q2W7","0.36","$938,755","Canada","Financial","2.40","Oct 28, 2019","4.01","103.19","FI","CAD","CAD","1.00","3.99","1.62","-","1.62","938,755.02"
"QUEBEC (PROVINCE OF)","74814ZDK6","B1D3QH1","0.35","$915,170","Canada","Provincial","5.00","Dec 1, 2038","14.77","132.70","FI","CAD","CAD","1.00","14.99","3.03","-","3.03","915,169.55"
"WELLS FARGO FINANCIAL CANADA CORP MTN","94975ZBM7","B88R8Y8","0.35","$908,251","Canada","Financial","2.94","Jul 25, 2019","3.76","105.27","FI","CAD","CAD","1.00","3.75","1.57","-","1.57","908,251.46"
"ROYAL BANK OF CANADA","780086KY9","-","0.35","$904,448","Canada","Financial","1.92","Jul 17, 2020","4.72","100.39","FI","CAD","CAD","1.00","4.69","1.84","-","1.84","904,448.11"
"BANK OF NOVA SCOTIA","064149Z59","-","0.34","$892,383","Canada","Financial","2.10","Nov 8, 2016","1.24","101.24","FI","CAD","CAD","1.00","1.23","1.10","-","1.10","892,382.56"
"HSBC BANK CANADA","40427HSQ7","B905QD2","0.34","$891,847","Canada","Financial","2.94","Jan 14, 2020","4.18","104.99","FI","CAD","CAD","1.00","4.16","1.76","-","1.76","891,846.82"
"BANK OF NOVA SCOTIA","064149G76","B71LCP9","0.34","$885,597","Canada","Financial","2.74","Dec 1, 2016","1.30","102.12","FI","CAD","CAD","1.00","1.29","1.12","-","1.12","885,597.29"
"BANK OF MONTREAL","06367VHF5","BDC7Y63","0.34","$877,077","Canada","Financial","3.21","Sep 13, 2018","2.94","105.42","FI","CAD","CAD","1.00","2.93","1.42","-","1.42","877,076.68"
"BANK OF MONTREAL RegS","06367V6B6","-","0.33","$873,040","Canada","Financial","2.12","Mar 16, 2022","6.11","99.75","FI","CAD","CAD","1.00","6.09","2.16","-","2.16","873,039.58"
"CANADA HOUSING TRUST NO 1","13509PDV2","B9C60V9","0.33","$870,767","Canada","Federal","2.35","Sep 15, 2023","7.33","105.13","FI","CAD","CAD","1.00","7.33","1.67","-","1.67","870,766.60"
"GE CAPITAL CANADA FUNDING COMPANY MTN","36158ZBH8","B23Y5C9","0.33","$862,255","United States","Financial","5.53","Aug 17, 2017","1.90","108.54","FI","CAD","CAD","1.00","1.89","1.27","-","1.27","862,255.43"
