iShares Canadian Short Term Bond Index ETF
Inception Date,"Nov 20, 2000"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$2,136,492,505"
Shares Outstanding,"74,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"FINANCEMENT QUEBEC","31739ZAS4","B6XW0G0","0.32","$6,829,355","Canada","Provincial","2.40","Dec 1, 2018","3.20","104.63","FI","CAD","CAD","1.00","3.19","0.98","-","0.98","6,829,354.84"
"BRITISH COLUMBIA PROV OF","110709FZ0","B55LHL2","0.32","$6,793,085","Canada","Provincial","4.10","Dec 18, 2019","4.03","112.67","FI","CAD","CAD","1.00","4.02","1.12","-","1.12","6,793,085.40"
"ALBERTA (PROVINCE OF)","013051CZ8","B4T7H19","0.32","$6,768,579","Canada","Provincial","4.00","Dec 1, 2019","4.00","112.09","FI","CAD","CAD","1.00","3.98","1.12","-","1.12","6,768,578.80"
"TORONTO-DOMINION BANK/THE","891145N42","-","0.31","$6,673,878","Canada","Financial","2.45","Apr 2, 2019","3.48","103.43","FI","CAD","CAD","1.00","3.47","1.48","-","1.48","6,673,877.76"
"CIBC CAPITAL TRUST","12544UAA9","B64SJX7","0.30","$6,457,930","Canada","Financial","9.98","Jun 30, 2108","3.36","128.15","FI","CAD","CAD","1.00","64.89","0.12","-","2.37","6,457,929.79"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZHZ2","BP9DSY4","0.30","$6,449,961","Canada","Financial","2.35","Oct 18, 2017","2.14","102.33","FI","CAD","CAD","1.00","2.13","1.27","-","1.27","6,449,961.09"
"FINANCEMENT QUEBEC","31739ZAT2","B8KC0N4","0.30","$6,410,331","Canada","Provincial","2.45","Dec 1, 2019","4.10","105.34","FI","CAD","CAD","1.00","4.09","1.18","-","1.18","6,410,330.95"
"BANK OF NOVA SCOTIA","064149P27","-","0.30","$6,337,091","Canada","Financial","3.04","Oct 18, 2024","3.93","104.70","FI","CAD","CAD","1.00","8.07","1.88","-","1.87","6,337,091.39"
"ROYAL BANK OF CANADA","780086FE9","BCCWBP9","0.29","$6,297,372","Canada","Financial","2.82","Jul 12, 2018","2.83","103.90","FI","CAD","CAD","1.00","2.81","1.46","-","1.46","6,297,371.96"
"ROYAL BANK OF CANADA","780086KY9","-","0.29","$6,230,643","Canada","Financial","1.92","Jul 17, 2020","4.72","100.39","FI","CAD","CAD","1.00","4.69","1.84","-","1.84","6,230,642.54"
"ROYAL BANK OF CANADA","780085G34","B3KTL48","0.29","$6,222,320","Canada","Financial","3.66","Jan 25, 2017","1.44","103.58","FI","CAD","CAD","1.00","1.43","1.19","-","1.19","6,222,319.79"
"BANK OF MONTREAL","0636795H3","B95J833","0.29","$6,206,738","Canada","Financial","2.24","Dec 11, 2017","2.29","102.16","FI","CAD","CAD","1.00","2.28","1.30","-","1.30","6,206,738.31"
"BANK OF NOVA SCOTIA","064151BL6","-","0.29","$6,114,780","Canada","Financial","2.13","Jun 15, 2020","4.61","101.61","FI","CAD","CAD","1.00","4.59","1.78","-","1.78","6,114,780.24"
"ROYAL BANK OF CANADA","7800855B8","B7608L9","0.29","$6,109,312","Canada","Financial","2.68","Dec 8, 2016","1.32","102.07","FI","CAD","CAD","1.00","1.31","1.11","-","1.11","6,109,311.56"
"FINANCEMENT QUEBEC","31739ZAQ8","B68WMQ9","0.29","$6,088,907","Canada","Provincial","3.50","Dec 1, 2017","2.23","106.19","FI","CAD","CAD","1.00","2.23","0.80","-","0.80","6,088,906.88"
"ROYAL BANK OF CANADA","780086BU7","B83Y811","0.28","$6,077,961","Canada","Financial","2.36","Sep 21, 2017","2.06","102.12","FI","CAD","CAD","1.00","2.05","1.34","-","1.34","6,077,960.66"
"CAISSE CENTRALE DESJARDINS MTN","12801ZCL0","-","0.28","$6,040,066","Canada","Financial","1.75","Mar 2, 2020","4.37","99.92","FI","CAD","CAD","1.00","4.34","1.77","-","1.77","6,040,066.29"
"ROYAL BANK OF CANADA","7800857T7","B7LRBC7","0.28","$6,033,843","Canada","Financial","2.58","Apr 13, 2017","1.64","102.24","FI","CAD","CAD","1.00","1.64","1.23","-","1.23","6,033,843.30"
"BRITISH COLUMBIA PROV OF MTN","110709FX5","B52K905","0.28","$5,984,539","Canada","Provincial","4.65","Dec 18, 2018","3.15","112.29","FI","CAD","CAD","1.00","3.14","0.93","-","0.93","5,984,538.81"
